"FECHA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"11 jul 2017";568,51;575,44
"12 jul 2017";569,99;575
"13 jul 2017";569,83;575,05
"14 jul 2017";568,48;574,01
"17 jul 2017";568,2;574,57
"18 jul 2017";568,39;574,99
"19 jul 2017";569,33;575,01
"20 jul 2017";569,7;574,39
"21 jul 2017";569,73;575,18
"24 jul 2017";568,9;575,25
"25 jul 2017";568,63;575,35
"26 jul 2017";568,63;575,35
"27 jul 2017";568,75;575,05
"28 jul 2017";569,68;574,58
"31 jul 2017";568,87;575,17
"01 ago 2017";568,96;575,59
"02 ago 2017";570,34;576,62
"03 ago 2017";570,34;576,62
"04 ago 2017";571,55;577,62
"07 ago 2017";571,5;577,62
"08 ago 2017";570,43;577,91
"09 ago 2017";572,26;578,44
"10 ago 2017";573,7;579,33
"11 ago 2017";573,54;578,83
"14 ago 2017";572,97;578,91
"15 ago 2017";572,88;578,66
"16 ago 2017";572,88;578,66
"17 ago 2017";572,09;578,02
"18 ago 2017";571,1;577,6
"21 ago 2017";571,6;577,4
"22 ago 2017";571,4;577,48
"23 ago 2017";572,08;577,14
"24 ago 2017";572,65;577,18
"25 ago 2017";572,34;577,52
"28 ago 2017";571,41;577,27
"29 ago 2017";571,05;577,53
"30 ago 2017";571,27;577,23
"31 ago 2017";571,91;577,42
"01 sep 2017";572,81;578,08
"04 sep 2017";572,7;578,78
"05 sep 2017";571,95;579,35
"06 sep 2017";574,36;579,71
"07 sep 2017";575,52;580,65
"08 sep 2017";576,17;580,87
"11 sep 2017";574,29;580,76
"12 sep 2017";574,41;580,63
"13 sep 2017";575,12;579,95
"14 sep 2017";574,94;579,82
"15 sep 2017";574,22;579,48
"18 sep 2017";574,22;579,48
"19 sep 2017";573,53;579,37
"20 sep 2017";573,44;578,91
"21 sep 2017";572,93;578,28
"22 sep 2017";572,55;577,96
"25 sep 2017";571,46;577,33
"26 sep 2017";570,37;577,11
"27 sep 2017";570,74;576,62
"28 sep 2017";570,52;575,13
"29 sep 2017";569,62;575,01
"02 oct 2017";568,33;574,13
"03 oct 2017";567,04;575,46
"04 oct 2017";569,57;575,46
"05 oct 2017";570,62;575,47
"06 oct 2017";571,73;575,76
"09 oct 2017";571,28;577,04
"10 oct 2017";571,37;577,87
"11 oct 2017";571,7;577,4
"12 oct 2017";571,33;576,74
"13 oct 2017";570,42;574,78
"16 oct 2017";568,13;573,78
"17 oct 2017";568,13;573,78
"18 oct 2017";566,69;573,16
"19 oct 2017";567,24;572,85
"20 oct 2017";567,3;572,42
"23 oct 2017";567,15;573,5
"24 oct 2017";566,52;573,2
"25 oct 2017";566,39;571,71
"26 oct 2017";567,21;571,94
"27 oct 2017";566,83;571,74
"30 oct 2017";566,02;572,36
"31 oct 2017";566,65;572,11
"01 nov 2017";566,23;571,69
"02 nov 2017";566,28;572,54
"03 nov 2017";567,65;572,56
"06 nov 2017";566,36;571,72
"07 nov 2017";565,77;572,71
"08 nov 2017";566,91;572,66
"09 nov 2017";567,08;572,37
"10 nov 2017";567,41;571,92
"13 nov 2017";566,92;572,06
"14 nov 2017";566,25;571,88
"15 nov 2017";565,96;571,11
"16 nov 2017";565,3;570,9
"17 nov 2017";564,76;569,83
"20 nov 2017";563,48;569,41
"21 nov 2017";561,75;568,8
"22 nov 2017";562,63;568,51
"23 nov 2017";562,57;568,37
"24 nov 2017";562,71;568,06
"27 nov 2017";563,36;568,04
"28 nov 2017";563,12;568,41
"29 nov 2017";562,81;568,47
"30 nov 2017";563,32;568,56
"01 dic 2017";563,42;568,13
"04 dic 2017";562,25;568,91
"05 dic 2017";563,12;568,42
"06 dic 2017";563,1;568,6
"07 dic 2017";563,53;568,75
"08 dic 2017";563,83;568,85
"11 dic 2017";562,34;569
"12 dic 2017";562,75;568,86
"13 dic 2017";562,9;568,65
"14 dic 2017";563,45;568,83
"15 dic 2017";563,72;568,08
"18 dic 2017";563,04;568,37
"19 dic 2017";562,94;568,59
"20 dic 2017";563,16;569,12
"21 dic 2017";563,81;570,03
"22 dic 2017";565,01;570,82
"26 dic 2017";563,7;571,05
"27 dic 2017";565,26;570,96
"28 dic 2017";565,52;571,33
"29 dic 2017";566,42;572,56
"02 ene 2018";566,42;572,56
"03 ene 2018";566,08;572,71
"04 ene 2018";566,76;572,25
