"";"fecha";"valor"
"360";"2013-02-24";1509,044
"361";"2013-02-25";3536,784
"362";"2013-02-26";3751,24
"363";"2013-02-27";3716,524
"364";"2013-02-28";3730,296
"365";"2013-03-01";3638,248
"366";"2013-03-02";3339,972
"367";"2013-03-03";1261,544
"368";"2013-03-04";3037,824
"369";"2013-03-05";4041,728
"370";"2013-03-06";3986,42
"371";"2013-03-07";4068,084
"372";"2013-03-08";3884,648
"373";"2013-03-09";3724,092
"374";"2013-03-10";4047,052
"375";"2013-03-11";3685,152
"376";"2013-03-12";4011,896
"377";"2013-03-13";3911,664
"378";"2013-03-14";4010,752
"379";"2013-03-15";3940,924
"380";"2013-03-16";3794,316
"381";"2013-03-17";2473,832
"382";"2013-03-18";3462,512
"383";"2013-03-19";3564,988
"384";"2013-03-20";3393,212
"385";"2013-03-21";3488,032
"386";"2013-03-22";3255,052
"387";"2013-03-23";3276,172
"388";"2013-03-24";1485,24
"389";"2013-03-25";3106,64
"390";"2013-03-26";3272,08
"391";"2013-03-27";3222,36
"392";"2013-03-28";3245,46
"393";"2013-03-29";3362,412
"394";"2013-03-30";1878,732
"395";"2013-03-31";1156,076
"396";"2013-04-01";3484,776
"397";"2013-04-02";3671,556
"398";"2013-04-03";3782,656
"399";"2013-04-04";3737,16
"400";"2013-04-05";3548,972
"401";"2013-04-06";3544,264
"402";"2013-04-07";3435,76
"403";"2013-04-08";3588,572
"404";"2013-04-09";3814,556
"405";"2013-04-10";3556,012
"406";"2013-04-11";3696,548
"407";"2013-04-12";2160,508
"408";"2013-04-13";2786,276
"409";"2013-04-14";3924,468
"410";"2013-04-15";3694,92
"411";"2013-04-16";3789,476
"412";"2013-04-17";3892,128
"413";"2013-04-18";4032,928
"414";"2013-04-19";4118,112
"415";"2013-04-20";4059,636
"416";"2013-04-21";3845,136
"417";"2013-04-22";4081,108
"418";"2013-04-23";3956,368
"419";"2013-04-24";3792,204
"420";"2013-04-25";3933,268
"421";"2013-04-26";4091,008
"422";"2013-04-27";3893,756
"423";"2013-04-28";2905,164
"424";"2013-04-29";3642,692
"425";"2013-04-30";3956,148
"426";"2013-05-01";3772,052
"427";"2013-05-02";4002,48
"428";"2013-05-03";3971,988
"429";"2013-05-04";3711,288
"430";"2013-05-05";1570,688
"431";"2013-05-06";3086,972
"432";"2013-05-07";3723,124
"433";"2013-05-08";3790,356
"434";"2013-05-09";4000,28
"435";"2013-05-10";3741,472
"436";"2013-05-11";3991,612
"437";"2013-05-12";2740,956
"438";"2013-05-13";3937,096
"439";"2013-05-14";4164,4
"440";"2013-05-15";4053,388
"441";"2013-05-16";3871,14
"442";"2013-05-17";3781,38
"443";"2013-05-18";3668,3
"444";"2013-05-19";1609,848
"445";"2013-05-20";3680,84
"446";"2013-05-21";3933,18
"447";"2013-05-22";3672,348
"448";"2013-05-23";3957,204
"449";"2013-05-24";3999,224
"450";"2013-05-25";3915,668
"451";"2013-05-26";3946,248
"452";"2013-05-27";3777,42
"453";"2013-05-28";1411,364
"454";"2013-05-29";1193,696
"455";"2013-05-30";2935,656
"456";"2013-05-31";3836,028
"457";"2013-06-01";4064,036
"458";"2013-06-02";2610,892
"459";"2013-06-03";3899,388
"460";"2013-06-04";4125,064
"461";"2013-06-05";4147,152
"462";"2013-06-06";3987,784
"463";"2013-06-07";4017,044
"464";"2013-06-08";4150,804
"465";"2013-06-09";2892,052
"466";"2013-06-10";3821,42
"467";"2013-06-11";4153,224
"468";"2013-06-12";3858,82
"469";"2013-06-13";3973,308
"470";"2013-06-14";3977,048
"471";"2013-06-15";4039,66
"472";"2013-06-16";2682,744
"473";"2013-06-17";3923,632
"474";"2013-06-18";4181,868
"475";"2013-06-19";4200,964
"476";"2013-06-20";4197,972
"477";"2013-06-21";4248,44
"478";"2013-06-22";4180,504
"479";"2013-06-23";2627,7
"480";"2013-06-24";3655,276
"481";"2013-06-25";4338,112
"482";"2013-06-26";4100,292
"483";"2013-06-27";4112,832
"484";"2013-06-28";3240,796
"485";"2013-06-29";1652,968
"486";"2013-06-30";4097,916
"487";"2013-07-01";3823,928
"488";"2013-07-02";4268,768
"489";"2013-07-03";4238,672
"490";"2013-07-04";4271,496
"491";"2013-07-05";4147,196
"492";"2013-07-06";4287,688
"493";"2013-07-07";3126,22
"494";"2013-07-08";4134,392
"495";"2013-07-09";4191,284
"496";"2013-07-10";4169,504
"497";"2013-07-11";4257,02
"498";"2013-07-12";4302,912
"499";"2013-07-13";3759,424
"500";"2013-07-14";1742,42
"501";"2013-07-15";3623,2
"502";"2013-07-16";4014,976
"503";"2013-07-17";4097,256
"504";"2013-07-18";4128,584
"505";"2013-07-19";3637,632
"506";"2013-07-20";3841,616
"507";"2013-07-21";2690,444
"508";"2013-07-22";684,396
"509";"2013-07-23";1074,852
"510";"2013-07-24";847,636
"511";"2013-07-25";1335,508
"512";"2013-07-26";2894,516
"513";"2013-07-27";3365,492
"514";"2013-07-28";2723,18
"515";"2013-07-29";3454,02
"516";"2013-07-30";3959,448
"517";"2013-07-31";4019,904
"518";"2013-08-01";3317,708
"519";"2013-08-02";3608,196
"520";"2013-08-03";4114,196
"521";"2013-08-04";4250,684
"522";"2013-08-05";4186,048
"523";"2013-08-06";4148,868
"524";"2013-08-07";4265,204
"525";"2013-08-08";4130,828
"526";"2013-08-09";4137,692
"527";"2013-08-10";4018,496
"528";"2013-08-11";4058,36
"529";"2013-08-12";3229,356
"530";"2013-08-13";3974,232
"531";"2013-08-14";4194,32
"532";"2013-08-15";4306,124
"533";"2013-08-16";4142,664
"534";"2013-08-17";4290,856
"535";"2013-08-18";3262,752
"536";"2013-08-19";4081,68
"537";"2013-08-20";4074,86
"538";"2013-08-21";4356,284
"539";"2013-08-22";4480,1
"540";"2013-08-23";4045,732
"541";"2013-08-24";3756,74
"542";"2013-08-25";1823,292
"543";"2013-08-26";4197,708
"544";"2013-08-27";4351,312
"545";"2013-08-28";4229,652
"546";"2013-08-29";4312,46
"547";"2013-08-30";4261,64
"548";"2013-08-31";3933,224
"549";"2013-09-01";1939,892
"550";"2013-09-02";4080,184
"551";"2013-09-03";4321,172
"552";"2013-09-04";3849,492
"553";"2013-09-05";4295,828
"554";"2013-09-06";4210,204
"555";"2013-09-07";4135,36
"556";"2013-09-08";3091,24
"557";"2013-09-09";3805,228
"558";"2013-09-10";4042,08
"559";"2013-09-11";3996,672
"560";"2013-09-12";3959,492
"561";"2013-09-13";3893,404
"562";"2013-09-14";3344,196
"563";"2013-09-15";936,516
"564";"2013-09-16";3136,472
"565";"2013-09-17";3685,944
"566";"2013-09-18";3776,628
"567";"2013-09-19";3800,872
"568";"2013-09-20";3716,524
"569";"2013-09-21";3691,532
"570";"2013-09-22";1669,644
"571";"2013-09-23";3285,236
"572";"2013-09-24";3744,772
"573";"2013-09-25";3668,08
"574";"2013-09-26";3607,624
"575";"2013-09-27";3610,528
"576";"2013-09-28";3357,396
"577";"2013-09-29";1134,956
"578";"2013-09-30";3026,252
"579";"2013-10-01";3774,384
"580";"2013-10-02";4070,328
"581";"2013-10-03";3750,712
"582";"2013-10-04";3572,072
"583";"2013-10-05";3641,372
"584";"2013-10-06";1777,092
"585";"2013-10-07";3165,776
"586";"2013-10-08";3831,54
"587";"2013-10-09";3969,436
"588";"2013-10-10";4056,028
"589";"2013-10-11";4180,944
"590";"2013-10-12";4404,904
"591";"2013-10-13";4119,256
"592";"2013-10-14";3893,316
"593";"2013-10-15";3877,784
"594";"2013-10-16";4032,356
"595";"2013-10-17";4021,444
"596";"2013-10-18";4183,32
"597";"2013-10-19";4069,316
"598";"2013-10-20";3762,196
"599";"2013-10-21";3791,412
"600";"2013-10-22";4043,752
"601";"2013-10-23";4254,688
"602";"2013-10-24";4230,664
"603";"2013-10-25";3911,532
"604";"2013-10-26";4257,9
"605";"2013-10-27";2357,144
"606";"2013-10-28";3290,868
"607";"2013-10-29";4413,22
"608";"2013-10-30";4302,164
"609";"2013-10-31";4255,656
"610";"2013-11-01";3907,308
"611";"2013-11-02";4003,052
"612";"2013-11-03";3776,628
"613";"2013-11-04";3881,788
"614";"2013-11-05";4169,46
"615";"2013-11-06";4202,02
"616";"2013-11-07";4089,204
"617";"2013-11-08";4042,828
"618";"2013-11-09";4275,236
"619";"2013-11-10";2162,048
"620";"2013-11-11";3310,404
"621";"2013-11-12";4028,704
"622";"2013-11-13";4096,684
"623";"2013-11-14";4171,176
"624";"2013-11-15";4312,9
"625";"2013-11-16";4237,88
"626";"2013-11-17";2226,596
"627";"2013-11-18";3568,904
"628";"2013-11-19";4258,692
"629";"2013-11-20";4219,928
"630";"2013-11-21";4272,42
"631";"2013-11-22";4128,716
"632";"2013-11-23";4124,58
"633";"2013-11-24";1964,576
"634";"2013-11-25";3544,704
"635";"2013-11-26";4286,896
"636";"2013-11-27";4380,22
"637";"2013-11-28";4201,624
"638";"2013-11-29";4073,804
"639";"2013-11-30";4125,284
"640";"2013-12-01";4279,372
"641";"2013-12-02";1955,556
"642";"2013-12-03";3344,768
"643";"2013-12-04";4224,196
"644";"2013-12-05";4315,452
"645";"2013-12-06";4307,532
"646";"2013-12-07";4210,644
"647";"2013-12-08";2221,008
"648";"2013-12-09";3507,788
"649";"2013-12-10";4321,216
"650";"2013-12-11";4309,996
"651";"2013-12-12";4380,836
"652";"2013-12-13";4329,708
"653";"2013-12-14";4400,724
"654";"2013-12-15";4429,368
"655";"2013-12-16";4334,812
"656";"2013-12-17";4512,352
"657";"2013-12-18";4485,688
"658";"2013-12-19";2366,208
"659";"2013-12-20";3143,204
"660";"2013-12-21";4217,684
"661";"2013-12-22";4391,572
"662";"2013-12-23";4480,804
"663";"2013-12-24";4392,496
"664";"2013-12-25";4052,068
"665";"2013-12-26";1797,42
"666";"2013-12-27";1924,976
"667";"2013-12-28";4219,708
"668";"2013-12-29";4434,252
"669";"2013-12-30";4419,908
"670";"2013-12-31";4364,028
"671";"2014-01-01";4437,376
"672";"2014-01-02";4269,648
"673";"2014-01-03";4178,744
"674";"2014-01-04";4370,804
"675";"2014-01-05";3832,552
"676";"2014-01-06";2046,724
"677";"2014-01-07";4154,06
"678";"2014-01-08";4494,796
"679";"2014-01-09";4544,12
"680";"2014-01-10";4554,064
"681";"2014-01-11";4582,796
"682";"2014-01-12";4254,38
"683";"2014-01-13";2672,624
"684";"2014-01-14";4301,24
"685";"2014-01-15";4547,728
"686";"2014-01-16";4444,46
"687";"2014-01-17";3055,16
"688";"2014-01-18";4325,572
"689";"2014-01-19";2204,42
"690";"2014-01-20";4092,856
"691";"2014-01-21";4391,528
"692";"2014-01-22";4326,628
"693";"2014-01-23";4272,42
"694";"2014-01-24";4163,696
"695";"2014-01-25";3722,86
"696";"2014-01-26";1698,816
"697";"2014-01-27";4168,668
"698";"2014-01-28";4165,852
"699";"2014-01-29";3984,396
"700";"2014-01-30";3734,344
"701";"2014-01-31";3706,184
"702";"2014-02-01";3253,16
"703";"2014-02-02";1721,916
"704";"2014-02-03";3997,068
"705";"2014-02-04";4300,36
"706";"2014-02-05";4358,836
"707";"2014-02-06";4152,96
"708";"2014-02-07";2989,072
"709";"2014-02-08";3921,3
"710";"2014-02-09";1549,656
"711";"2014-02-10";2792,788
"712";"2014-02-11";4301,944
"713";"2014-02-12";4509,624
"714";"2014-02-13";4552,788
"715";"2014-02-14";4367,988
"716";"2014-02-15";4513,276
"717";"2014-02-16";1999,292
"718";"2014-02-17";4113,888
"719";"2014-02-18";4553,8
"720";"2014-02-19";4536,596
"721";"2014-02-20";4518,512
"722";"2014-02-21";3953,464
"723";"2014-02-22";4239,024
"724";"2014-02-23";3336,716
"725";"2014-02-24";4240,608
"726";"2014-02-25";4457,44
"727";"2014-02-26";4568,76
"728";"2014-02-27";4607,524
"729";"2014-02-28";4434,868
"730";"2014-03-01";4098,884
"731";"2014-03-02";1769,436
"732";"2014-03-03";4128,98
"733";"2014-03-04";4423,384
"734";"2014-03-05";4155,116
"735";"2014-03-06";4399,756
"736";"2014-03-07";4324,12
"737";"2014-03-08";4105,044
"738";"2014-03-09";1633,608
"739";"2014-03-10";4292,176
"740";"2014-03-11";4662,568
"741";"2014-03-12";4523,396
"742";"2014-03-13";4443,668
"743";"2014-03-14";4283,772
"744";"2014-03-15";3874,572
"745";"2014-03-16";1968,052
"746";"2014-03-17";4384,884
"747";"2014-03-18";4455,768
"748";"2014-03-19";4449,872
"749";"2014-03-20";4570,212
"750";"2014-03-21";4221,424
"751";"2014-03-22";3739,008
"752";"2014-03-23";1541,164
"753";"2014-03-24";4152,036
"754";"2014-03-25";4090,744
"755";"2014-03-26";4003,052
"756";"2014-03-27";2003,208
"757";"2014-03-28";972,772
"758";"2014-03-29";3026,296
"759";"2014-03-30";4312,24
"760";"2014-03-31";4216,892
"761";"2014-04-01";4348,408
"762";"2014-04-02";4673,744
"763";"2014-04-03";4758,928
"764";"2014-04-04";4465,404
"765";"2014-04-05";4380
"766";"2014-04-06";2549,512
"767";"2014-04-07";4458,848
"768";"2014-04-08";4685,888
"769";"2014-04-09";4732,264
"770";"2014-04-10";4653,636
"771";"2014-04-11";4559,872
"772";"2014-04-12";3992,052
"773";"2014-04-13";2566,672
"774";"2014-04-14";4326,1
"775";"2014-04-15";4438,608
"776";"2014-04-16";4471,036
"777";"2014-04-17";4309,688
"778";"2014-04-18";4233,7
"779";"2014-04-19";3981,844
"780";"2014-04-20";2117,784
"781";"2014-04-21";4398,216
"782";"2014-04-22";4613,376
"783";"2014-04-23";4167,964
"784";"2014-04-24";4223,316
"785";"2014-04-25";2732,728
"786";"2014-04-26";3138,188
"787";"2014-04-27";1094,344
"788";"2014-04-28";4572,236
"789";"2014-04-29";4695,26
"790";"2014-04-30";4652,976
"791";"2014-05-01";4522,56
"792";"2014-05-02";4272,068
"793";"2014-05-03";3808,264
"794";"2014-05-04";1828,22
"795";"2014-05-05";3944,972
"796";"2014-05-06";4307,708
"797";"2014-05-07";4400,856
"798";"2014-05-08";4418,236
"799";"2014-05-09";4125,196
"800";"2014-05-10";3915,096
"801";"2014-05-11";1946,14
"802";"2014-05-12";3709,572
"803";"2014-05-13";3785,296
"804";"2014-05-14";3889,664
"805";"2014-05-15";4305,332
"806";"2014-05-16";4293,936
"807";"2014-05-17";4102,14
"808";"2014-05-18";1572,272
"809";"2014-05-19";4143,456
"810";"2014-05-20";4150,276
"811";"2014-05-21";4276,38
"812";"2014-05-22";4259,044
"813";"2014-05-23";3644,54
"814";"2014-05-24";3155,304
"815";"2014-05-25";1605,096
"816";"2014-05-26";3944,928
"817";"2014-05-27";4152,784
"818";"2014-05-28";4337,804
"819";"2014-05-29";4544,428
"820";"2014-05-30";4148,34
"821";"2014-05-31";3627,468
"822";"2014-06-01";1489,64
"823";"2014-06-02";4265,864
"824";"2014-06-03";4482,036
"825";"2014-06-04";4252,268
"826";"2014-06-05";4573,82
"827";"2014-06-06";4568,32
"828";"2014-06-07";4360,156
"829";"2014-06-08";2145,68
"830";"2014-06-09";4312,9
"831";"2014-06-10";4743,528
"832";"2014-06-11";4622
"833";"2014-06-12";4727,468
"834";"2014-06-13";4666,132
"835";"2014-06-14";4524,716
"836";"2014-06-15";3128,684
"837";"2014-06-16";4380,704
"838";"2014-06-17";4715,06
"839";"2014-06-18";4635,332
"840";"2014-06-19";4593,532
"841";"2014-06-20";4538,18
"842";"2014-06-21";4328,124
"843";"2014-06-22";1693,888
"844";"2014-06-23";4405,124
"845";"2014-06-24";4600,44
"846";"2014-06-25";4698,868
"847";"2014-06-26";4661,468
"848";"2014-06-27";4536,596
"849";"2014-06-28";4292,572
"850";"2014-06-29";2574,46
"851";"2014-06-30";4289,58
"852";"2014-07-01";4403,584
"853";"2014-07-02";4525,332
"854";"2014-07-03";4607,524
"855";"2014-07-04";4609,724
"856";"2014-07-05";4208,092
"857";"2014-07-06";1987,852
"858";"2014-07-07";4268,592
"859";"2014-07-08";4567,968
"860";"2014-07-09";4647,476
"861";"2014-07-10";4039,704
"862";"2014-07-11";3442,184
"863";"2014-07-12";3279,56
"864";"2014-07-13";1438,116
"865";"2014-07-14";4328,168
"866";"2014-07-15";4519,7
"867";"2014-07-16";4547,772
"868";"2014-07-17";4552,832
"869";"2014-07-18";4573,512
"870";"2014-07-19";3878,84
"871";"2014-07-20";1735,952
"872";"2014-07-21";4313,296
"873";"2014-07-22";4451,544
